from,to
754,266
754,11
754,804
455,115
314,225
187,365
160,78
280,41
333,152
249,518
160,345
35,301
554,340
41,14
64,11
62,295
152,333
293,530
58,160
246,266
16,518
11,754
54,520
215,316
226,371
226,114
226,128
272,462
46,329
46,495
46,114
46,169
283,518
44,499
44,501
44,805
44,502
44,503
44,7
44,729
44,504
44,332
283,162
226,256
226,365
177,60
11,7
5,495
5,730
516,192
165,170
773,405
143,90
192,58
143,93
2,57
266,804
339,38
89,552
169,734
17,82
86,264
66,64
45,428
427,166
424,269
424,233
427,655
424,87
115,366
97,97
282,10
549,64
377,62
223,282
99,101
549,215
15,164
129,543
284,6
141,729
361,361
281,286
358,573
210,174
162,58
495,526
495,296
495,250
495,60
409,225
409,29
83,492
58,145
375,679
389,157
61,179
6,284
160,184
543,576
160,189
409,305
31,424
424,196
424,612
245,326
305,411
424,493
229,31
434,83
424,31
108,300
272,164
212,404
46,16
404,615
187,405
450,543
57,2
448,428
265,213
377,172
132,481
63,160
132,54
377,764
339,337
339,151
339,443
339,30
339,32
339,725
339,261
339,245
339,34
339,35
339,336
339,136
339,338
339,39
339,171
339,40
339,135
24,29
497,340
304,88
249,63
189,5
358,499
358,500
358,805
358,502
358,503
358,7
358,407
358,729
358,504
358,505
358,332
358,358
142,19
340,497
342,377
40,135
54,208
135,40
481,132
470,119
2,132
531,531
45,445
291,346
426,133
79,78
131,282
342,191
141,452
282,131
142,226
64,305
265,407
282,531
329,329
24,30
64,290
427,82
344,176
640,114
543,450
82,151
82,427
89,806
523,464
236,132
63,164
464,523
318,333
158,132
47,263
114,640
404,254
132,158
409,135
609,24
531,420
74,745
62,233
160,468
285,411
540,184
84,166
226,142
226,62
493,526
493,292
7,451
331,358
140,216
303,88
331,19
745,74
745,221
160,224
331,362
19,331
526,493
331,222
154,647
3,195
352,347
62,730
21,41
338,318
200,498
200,65
232,320
107,80
367,160
189,21
189,20
373,282
189,1
189,377
62,210
80,107
80,189
401,714
170,5
5,807
5,189
135,409
128,95
258,421
339,115
615,404
69,189
145,615
199,377
320,232
138,2
372,32
68,160
170,62
518,283
518,152
518,256
518,492
377,199
76,444
76,423
360,360
285,89
285,88
58,194
413,143
190,86
63,324
283,174
162,2
388,104
16,80
474,112
56,718
143,290
331,764
434,62
143,413
46,461
331,225
461,46
166,84
546,513
265,360
331,223
360,265
160,278
160,129
32,27
498,200
450,64
331,464
269,461
331,295
215,60
461,269
464,331
147,546
340,160
87,189
331,328
211,56
89,285
282,223
184,115
331,260
107,19
115,184
331,29
223,331
56,211
345,130
533,515
147,366
562,401
360,569
3,520
410,62
44,141
481,138
238,210
104,388
169,133
44,8
191,528
563,14
29,331
172,181
290,143
57,56
57,59
172,526
515,413
528,191
260,331
64,282
786,786
222,17
96,325
477,90
131,211
452,9
325,96
209,494
533,457
177,381
493,426
533,498
389,385
389,390
338,32
107,180
366,147
397,181
590,30
17,615
65,493
114,107
546,147
340,83
526,172
489,256
30,151
229,114
172,714
141,12
122,656
114,229
290,280
225,409
520,54
225,331
563,484
363,208
172,468
151,261
318,338
520,571
590,35
83,340
116,123
250,1
250,495
250,526
250,296
250,351
250,60
62,44
409,272
9,44
44,62
5,170
381,178
370,427
370,115
370,39
160,340
350,342
123,116
86,166
294,526
385,389
249,327
526,294
102,102
401,562
272,409
190,459
199,296
324,63
6,170
377,189
19,510
19,555
19,504
19,754
342,199
342,167
482,48
199,342
229,39
674,510
338,485
305,56
493,65
639,639
56,305
808,808
278,611
17,160
409,448
44,569
17,154
282,20
284,257
299,473
254,445
178,350
160,520
776,199
288,613
485,263
485,444
485,245
550,549
84,549
84,624
84,422
84,160
84,48
84,485
371,518
149,157
141,421
5,408
5,286
726,1
726,189
726,316
406,699
21,183
63,249
137,211
24,609
133,168
401,44
401,362
401,256
401,129
401,365
183,21
281,571
296,107
329,80
329,286
81,225
489,771
352,214
184,301
557,581
494,106
494,81
494,480
155,351
155,46
107,184
428,164
481,160
425,513
351,155
474,301
273,429
301,474
160,294
164,428
493,62
282,41
405,187
444,423
751,51
215,221
158,319
158,235
158,236
158,243
158,244
173,723
62,749
86,222
243,158
430,8
0,73
613,288
268,295
373,420
577,283
441,87
82,186
685,305
160,368
409,2
65,325
295,331
295,268
282,160
250,160
494,494
114,338
285,809
809,285
80,329
371,62
314,184
59,132
533,25
533,32
300,444
569,707
776,41
123,96
441,105
612,612
321,810
105,441
169,64
102,101
407,7
107,371
128,155
5,283
535,10
535,728
301,321
375,424
12,8
447,579
38,722
366,474
555,754
265,498
46,155
86,280
86,95
413,515
77,581
77,557
77,445
77,497
77,531
77,811
77,539
123,455
310,317
411,282
455,123
183,107
373,180
7,11
215,549
7,360
7,213
7,525
685,298
491,378
160,142
314,418
328,331
666,7
283,152
283,492
362,331
776,94
74,459
183,108
466,374
160,44
429,6
424,375
597,301
269,429
261,28
48,37
409,443
81,494
734,177
608,566
73,358
358,73
131,58
29,409
57,138
138,57
358,331
160,270
160,611
160,486
91,143
91,356
91,108
91,328
91,357
570,265
237,319
498,265
145,160
58,131
9,529
698,809
698,552
5,132
429,15
108,183
181,379
181,380
181,376
181,385
181,386
181,389
181,395
181,397
181,368
620,290
22,686
461,461
164,535
316,17
164,446
360,7
809,698
495,46
156,377
83,296
83,393
177,331
411,194
231,621
13,590
169,81
7,5
214,191
35,25
35,26
35,31
35,32
35,590
35,36
35,37
35,38
35,40
35,588
445,557
167,196
83,13
256,105
160,375
809,412
106,74
106,221
441,569
64,169
572,350
180,157
86,190
83,96
434,296
134,133
569,569
118,13
141,51
211,636
590,13
160,296
290,99
160,183
160,681
160,509
486,611
69,160
160,69
198,165
504,8
184,314
290,694
569,441
621,278
803,412
160,388
131,96
225,283
15,760
81,299
213,7
409,38
409,428
132,5
531,114
283,420
566,11
62,748
17,282
86,18
30,27
325,82
82,325
9,573
286,532
12,160
299,146
170,28
238,64
459,190
64,238
143,108
434,16
12,441
295,276
295,162
146,299
466,441
409,590
206,196
28,170
16,434
147,301
726,5
142,115
301,147
809,738
419,340
9,9
58,738
738,58
206,203
162,295
411,809
387,229
102,405
38,86
168,434
562,200
229,387
84,432
226,313
145,434
257,284
715,21
346,346
307,588
44,573
170,35
183,493
405,256
211,106
62,129
128,405
482,47
35,170
229,30
47,482
170,261
36,438
248,366
438,36
13,481
254,285
172,168
118,20
615,546
333,527
333,547
333,171
621,401
685,81
191,64
107,282
107,704
180,434
86,720
481,13
48,115
48,427
48,151
48,367
107,375
655,301
338,434
301,655
106,211
21,400
160,541
405,288
541,160
129,176
415,86
160,201
434,338
493,460
272,448
74,85
115,548
211,809
74,307
455,444
13,135
283,577
167,206
373,253
457,562
174,283
307,74
305,685
83,81
253,373
103,179
366,184
86,415
91,258
129,198
13,113
568,256
197,86
499,264
264,499
300,126
405,64
370,226
314,221
152,518
264,804
283,221
685,665
200,562
96,131
373,571
405,283
453,62
411,283
681,342
499,141
283,405
308,129
83,318
83,114
412,809
412,803
6,429
6,430
725,370
725,245
2,409
377,149
18,86
632,719
143,91
290,424
4,283
427,48
427,427
720,86
551,299
460,615
473,509
16,290
299,551
101,404
461,735
233,63
233,474
13,812
360,19
283,4
460,518
240,237
283,411
174,59
233,124
233,58
233,101
665,685
41,256
41,249
738,208
169,434
400,21
355,16
355,142
518,559
518,355
126,58
434,518
282,233
282,393
282,105
272,45
150,397
12,739
225,221
98,125
112,112
105,17
357,91
572,572
373,115
115,373
518,434
129,308
243,411
116,464
116,151
116,113
116,329
116,443
116,29
116,30
116,128
116,280
116,32
116,725
116,34
116,35
116,437
116,340
116,39
116,171
116,40
116,207
809,411
64,170
64,168
434,288
686,22
201,200
305,809
288,434
809,305
160,232
419,74
423,438
137,665
498,421
498,529
305,64
4,301
329,652
96,123
4,192
641,669
494,504
12,264
419,211
19,707
125,98
419,495
285,83
200,201
246,608
537,368
537,52
423,303
661,459
641,748
141,499
83,453
264,12
16,355
314,301
58,303
459,661
132,236
38,409
661,44
652,329
142,367
418,183
418,129
301,4
16,105
300,128
428,274
44,661
813,450
168,426
450,813
74,419
142,338
224,468
213,141
814,52
191,5
313,17
210,16
515,292
141,213
216,64
24,28
366,226
695,734
418,314
20,74
141,14
106,183
695,365
64,216
115,64
168,276
16,210
345,157
211,419
211,586
211,546
211,434
15,15
210,233
48,492
19,142
13,290
76,245
229,489
93,168
221,215
411,698
411,481
373,166
489,229
481,698
481,411
481,809
74,764
74,308
74,310
74,312
74,313
74,0
74,468
226,434
160,562
85,74
478,434
379,308
379,380
379,381
379,61
379,392
379,393
379,320
379,378
379,103
379,382
379,181
379,383
379,283
379,385
379,386
379,387
379,388
379,390
379,391
379,250
379,398
379,377
379,368
379,104
379,321
379,60
379,150
748,46
473,213
434,478
498,246
434,64
434,226
411,243
14,141
133,160
58,809
48,261
48,48
261,48
542,526
309,42
309,612
520,58
64,434
201,51
329,477
90,66
221,283
160,667
371,98
23,438
347,347
455,113
155,145
84,612
356,91
387,378
245,76
404,249
444,245
615,460
141,141
261,151
74,106
303,303
107,494
237,158
697,697
568,329
21,518
67,108
492,48
108,67
5,312
62,518
612,84
58,3
570,700
58,615
129,515
4,211
4,481
4,305
438,23
515,129
405,356
18,797
797,18
10,13
392,392
379,64
271,737
498,267
809,481
214,681
498,738
570,267
200,51
259,21
86,368
250,113
19,674
748,283
236,233
229,721
502,661
356,405
305,4
86,113
86,197
809,58
455,245
113,86
615,615
205,593
533,94
450,464
450,611
450,128
450,526
450,534
450,544
450,714
685,815
94,533
541,62
714,450
62,159
529,498
10,324
159,62
116,434
64,184
6,102
405,362
321,483
434,116
102,6
211,698
179,103
106,462
358,8
107,450
314,312
314,255
324,10
314,314
745,745
93,27
300,312
300,314
329,476
266,141
754,360
429,124
444,114
419,154
237,587
134,74
182,182
141,266
312,221
431,217
412,3
281,301
301,281
107,152
352,681
28,434
310,221
105,360
124,429
82,165
112,356
813,623
112,91
13,305
13,336
13,38
58,685
360,105
226,366
499,498
263,151
263,367
554,29
515,493
569,739
695,405
401,568
12,570
242,241
473,545
405,5
444,444
5,405
223,221
570,12
105,28
545,473
405,456
190,189
590,27
107,158
815,685
815,815
6,137
489,365
352,789
352,206
699,332
529,141
529,466
665,272
419,497
419,79
419,445
810,210
498,499
420,83
430,83
223,64
526,542
237,159
237,238
237,241
237,242
452,499
452,502
10,434
128,346
64,223
428,46
368,321
401,65
438,423
361,455
756,459
58,654
169,455
153,434
337,160
357,80
231,289
231,257
455,169
495,419
80,357
504,529
455,361
85,221
548,1
548,78
548,531
548,340
548,459
157,104
548,21
548,405
58,138
548,106
548,256
548,278
548,203
170,816
548,169
27,93
269,592
810,393
164,748
529,504
216,254
77,212
237,209
748,164
493,817
303,434
306,173
284,168
79,419
221,314
698,211
249,58
325,173
338,113
10,21
152,433
460,249
124,592
569,8
570,8
498,8
28,31
499,8
58,174
172,86
128,434
168,183
741,741
157,381
157,389
157,392
157,393
157,320
157,378
157,103
157,382
157,181
157,383
157,283
157,385
157,386
157,387
157,390
157,394
157,250
157,398
157,368
157,60
157,150
157,295
157,308
157,391
157,321
181,157
98,371
79,482
79,340
340,79
307,17
548,377
810,597
187,62
215,314
818,440
220,17
340,434
62,187
19,430
163,434
254,216
133,44
241,158
8,569
502,374
301,173
8,12
8,570
8,498
8,499
8,504
27,590
366,531
366,78
366,445
434,21
498,197
13,281
498,293
495,342
495,214
520,5
210,434
411,412
223,17
434,340
269,428
409,336
569,9
39,480
25,26
452,8
585,493
328,328
531,79
9,569
531,366
9,754
430,19
342,495
342,103
342,342
342,277
342,376
342,181
342,219
342,280
342,214
342,450
342,296
342,203
342,351
342,231
342,122
342,468
342,179
342,95
342,60
342,575
412,411
8,441
167,342
531,434
104,104
249,473
473,249
437,115
368,103
308,17
405,314
183,418
211,532
394,397
314,405
181,342
374,529
647,685
149,191
206,352
397,394
261,27
493,585
685,647
538,733
135,165
441,434
409,581
57,303
57,610
57,619
450,342
424,28
441,8
499,529
358,707
303,59
368,377
28,424
450,515
409,624
404,105
610,56
610,57
610,303
610,89
610,59
280,434
368,104
11,566
167,14
105,404
179,278
278,179
149,344
221,310
201,420
59,57
59,303
59,89
59,610
59,619
434,531
293,8
79,165
598,521
298,685
590,23
149,420
155,655
105,105
160,236
430,765
81,434
249,16
434,211
526,457
17,434
186,129
356,258
345,179
79,47
404,160
160,404
155,337
430,504
155,420
440,818
489,82
272,186
91,11
129,186
129,28
81,20
434,148
20,81
133,62
211,195
621,231
359,499
224,1
224,256
224,221
224,365
257,231
21,548
189,420
733,538
146,615
502,529
221,224
221,468
409,447
526,296
305,137
21,467
422,82
467,21
229,434
390,62
459,756
19,366
19,107
420,18
809,56
394,60
434,229
56,809
172,458
12,86
366,19
278,351
73,259
259,73
169,62
325,65
548,371
593,776
548,46
548,129
381,381
366,18
153,283
153,256
453,212
284,191
400,400
142,83
18,366
346,214
83,106
11,91
515,484
165,23
132,371
18,420
429,273
460,170
460,214
517,408
170,460
26,35
248,260
248,259
248,73
126,126
426,92
809,211
20,287
376,283
371,132
81,155
287,20
69,299
222,218
222,219
222,310
222,85
222,312
222,223
222,18
222,314
222,225
222,226
314,222
92,426
314,215
137,305
376,157
424,783
261,367
145,474
282,31
148,434
423,444
223,314
302,438
494,12
420,152
438,302
707,73
707,331
229,513
5,82
806,88
82,5
13,581
560,282
597,62
28,25
28,26
28,721
28,32
28,722
28,33
28,34
28,590
28,38
28,40
28,588
28,545
235,209
806,285
806,89
806,304
738,195
481,286
481,63
481,137
92,11
38,35
155,153
173,301
237,6
283,376
271,211
271,58
283,153
6,237
81,533
62,390
145,58
163,62
191,365
191,256
400,309
195,738
64,103
285,96
138,160
16,405
337,437
463,463
376,295
204,51
132,106
11,92
21,187
21,249
314,218
314,219
314,223
2,411
411,2
211,271
120,120
73,707
187,21
371,51
160,138
51,371
218,82
309,400
280,450
23,165
815,137
106,106
101,124
747,86
533,434
533,106
685,174
285,301
248,0
59,63
681,191
493,611
493,232
493,14
587,194
587,2
221,74
221,223
371,323
311,74
461,819
58,271
667,184
273,461
363,128
256,191
2,587
128,363
481,271
145,300
813,280
300,145
13,476
232,515
107,541
678,747
678,678
528,305
441,86
424,4
65,568
29,361
7,8
361,29
290,256
164,322
94,776
340,290
301,285
355,283
410,356
214,460
499,566
411,3
411,192
412,408
96,113
3,411
198,129
365,451
362,529
34,34
423,113
370,116
32,361
361,32
497,419
20,82
608,529
756,73
447,498
395,104
8,7
412,698
129,438
129,340
87,87
160,216
160,349
100,494
13,409
494,100
280,342
134,373
174,408
192,411
255,152
681,214
450,377
284,157
371,363
405,161
116,370
494,464
245,96
96,245
340,82
464,494
161,405
547,455
493,486
152,366
223,256
5,195
128,206
60,390
312,311
153,16
206,167
308,256
115,261
493,694
167,199
283,355
412,63
16,283
167,128
128,280
290,340
405,15
137,4
2,140
2,96
2,64
733,728
518,351
498,447
498,9
502,8
368,320
21,550
559,283
94,207
96,369
442,113
814,347
96,285
273,274
455,47
400,728
128,82
46,256
206,280
206,41
165,119
58,132
124,354
124,98
124,97
124,353
124,323
124,618
124,640
124,768
124,100
124,662
124,101
124,185
57,174
424,355
496,459
820,41
820,820
87,82
191,283
388,379
86,30
82,540
165,438
388,376
540,82
820,128
434,515
434,768
820,203
738,520
261,115
820,593
738,57
400,106
363,16
265,570
18,222
261,753
438,165
280,206
221,18
57,738
424,78
163,83
424,445
455,5
115,233
5,455
5,169
145,256
169,5
569,362
146,18
181,156
250,320
314,363
320,250
105,422
820,204
820,94
820,200
395,181
269,154
62,254
115,58
187,363
83,163
41,820
188,495
188,363
261,96
363,314
591,62
438,340
114,405
160,376
355,152
31,28
305,481
820,85
37,48
332,499
820,121
445,424
332,213
142,82
333,288
249,21
29,590
13,30
473,25
288,333
338,245
300,226
602,700
4,434
5,411
457,440
409,325
440,457
128,172
96,261
820,206
184,667
420,363
36,36
379,719
155,18
113,76
133,183
721,721
721,229
302,304
221,17
114,455
820,801
820,196
820,51
820,197
820,198
820,199
820,167
820,201
820,202
820,776
820,205
820,95
820,207
340,256
31,338
304,302
0,498
498,0
207,820
338,31
201,820
206,820
155,326
211,408
498,407
498,213
498,525
498,358
387,368
87,190
183,133
238,440
4,424
63,586
4,121
408,211
408,552
325,143
466,754
466,358
368,387
141,504
720,707
821,163
154,269
181,526
358,498
424,46
32,261
695,147
560,496
30,31
278,191
440,238
7,672
101,211
424,210
424,274
424,748
748,424
172,207
207,172
192,323
485,114
412,625
529,9
245,338
598,598
329,21
725,113
326,155
498,7
290,493
105,495
87,665
280,424
496,560
231,377
249,28
249,280
493,572
62,546
28,249
215,459
424,527
520,138
93,399
400,64
260,89
62,591
417,165
159,440
84,270
84,118
84,372
84,443
84,664
84,318
84,105
84,544
84,533
84,336
84,112
84,453
336,84
399,93
822,572
405,62
64,172
172,64
57,408
155,81
131,101
335,592
2,809
281,54
572,822
160,730
160,20
565,608
565,804
565,754
121,4
408,57
210,45
265,359
321,250
6,191
160,400
231,342
231,74
231,262
231,575
74,231
521,823
238,758
118,84
262,231
400,160
96,251
157,182
388,157
59,2
655,172
191,824
440,159
300,300
155,130
164,448
811,340
251,96
326,543
326,245
495,74
495,309
495,384
495,218
495,215
495,222
495,223
495,405
495,315
495,227
495,170
495,468
495,228
495,638
495,316
486,725
414,645
142,85
62,820
4,142
176,611
720,332
331,707
249,672
142,4
424,113
424,543
424,114
424,245
424,338
424,326
62,262
331,482
80,460
331,340
543,424
160,21
460,80
602,61
672,365
168,292
317,226
122,103
380,182
323,447
138,305
60,342
80,480
480,80
424,240
223,624
58,88
58,210
58,89
58,371
58,462
58,126
116,160
447,323
171,116
102,743
20,160
93,128
93,78
93,51
65,51
190,87
548,143
166,160
262,62
314,283
160,116
206,168
482,438
454,107
498,562
498,602
498,707
498,700
498,61
305,84
438,482
79,160
57,305
323,192
820,142
568,426
143,548
168,206
337,438
142,820
160,79
115,301
438,337
81,121
278,420
278,13
96,59
21,160
255,107
94,820
283,314
327,20
38,27
0,226
89,438
305,138
160,428
809,55
809,4
809,2
141,265
368,393
171,5
627,473
473,627
607,255
5,171
5,306
195,3
64,375
170,543
38,116
255,607
3,137
215,187
215,560
85,820
160,2
215,188
51,445
116,38
351,278
520,412
182,53
825,306
306,825
183,278
368,86
86,177
433,405
563,522
543,170
160,87
87,160
201,143
160,426
754,466
374,502
397,389
482,331
160,329
241,159
20,327
400,222
81,420
222,365
562,498
211,210
62,495
2,826
826,826
53,182
438,89
320,156
151,748
7,358
7,407
7,498
177,86
160,171
160,127
288,288
269,105
160,672
482,553
320,61
358,161
241,238
506,827
64,87
135,62
160,210
85,142
161,358
107,418
81,283
321,351
345,191
89,62
62,89
351,321
332,44
332,500
332,502
332,407
332,504
332,505
332,506
0,101
482,497
428,272
6,183
215,283
826,6
62,405
160,115
160,169
6,826
16,489
169,160
82,401
529,720
82,78
82,445
82,357
82,783
82,245
82,371
82,132
272,140
405,828
15,128
452,529
74,560
74,268
128,93
128,820
389,391
389,395
389,182
46,424
168,93
291,206
482,318
482,228
210,211
210,63
84,305
420,81
748,151
118,420
7,112
720,529
447,428
87,236
366,160
160,166
81,16
81,424
128,218
197,65
45,62
459,331
86,690
167,218
310,313
128,249
268,74
316,223
160,786
738,698
738,412
128,15
128,362
145,303
259,297
368,83
811,531
47,79
201,218
106,222
487,529
487,421
35,128
829,203
107,63
492,333
520,738
455,76
249,438
16,81
308,424
245,82
430,362
141,249
96,76
438,365
438,249
69,678
142,58
173,728
94,218
690,690
367,427
358,213
358,525
143,201
64,74
213,358
74,64
389,60
377,0
442,35
685,56
0,218
60,389
160,292
283,81
362,128
344,231
0,377
249,152
293,374
262,179
226,218
667,105
441,282
30,165
94,95
100,404
484,515
649,729
95,94
249,145
25,473
424,462
129,611
481,305
0,17
0,74
129,789
74,187
63,233
627,86
114,686
3,158
408,138
515,450
96,816
300,828
158,3
427,651
167,820
31,427
63,158
233,828
87,223
373,411
114,152
404,82
337,5
301,209
360,570
242,237
422,601
177,0
316,316
0,177
569,19
16,367
129,694
816,170
223,330
822,290
745,282
301,597
277,280
209,301
466,555
553,482
426,562
120,218
582,418
129,615
742,742
290,822
4,809
2,158
783,82
783,424
286,80
21,80
21,671
5,337
508,80
651,118
206,51
206,197
206,198
206,199
206,200
206,128
206,201
206,202
206,593
206,204
206,776
206,205
206,94
206,95
206,207
651,511
651,420
686,114
98,62
400,96
96,400
152,154
357,108
58,283
368,394
283,58
62,98
62,62
3,194
523,280
453,83
523,829
214,342
214,343
214,346
214,278
214,352
152,114
132,82
394,368
86,81
492,5
338,455
768,98
58,288
522,563
441,649
441,729
441,754
441,249
457,523
417,160
288,58
349,149
349,262
349,344
349,348
349,148
349,122
349,179
474,256
262,349
184,80
184,187
249,166
249,546
546,249
142,84
816,116
376,181
129,464
59,408
137,3
424,395
480,329
329,480
453,472
453,255
361,165
527,547
201,395
201,93
464,129
263,438
438,263
2,738
692,231
201,160
93,201
828,405
73,268
145,828
134,134
357,282
5,492
820,546
87,77
520,408
192,516
192,517
370,25
370,92
370,26
370,443
370,37
370,135
615,168
182,389
37,151
82,424
21,371
371,21
413,176
661,570
82,20
69,329
685,160
168,615
329,69
132,121
158,63
158,4
158,2
158,137
308,295
223,225
828,233
201,166
68,329
424,509
4,158
5,820
803,803
303,423
412,520
412,59
69,424
424,464
82,385
366,518
809,63
452,666
464,424
452,830
809,208
283,424
452,823
517,192
245,165
258,831
329,68
18,85
18,317
18,696
63,809
201,196
201,167
201,203
201,206
692,130
314,166
105,667
700,699
121,132
820,5
26,370
13,280
105,474
105,153
160,269
393,166
393,433
393,145
393,71
393,84
395,201
390,391
13,326
404,412
493,522
493,563
585,544
151,165
366,183
282,255
160,137
338,263
295,62
160,379
64,222
568,1
183,366
427,31
222,222
183,695
160,548
226,696
526,450
94,199
363,434
424,295
522,493
601,166
255,282
17,142
4,532
283,434
183,28
183,128
320,593
320,350
320,483
160,164
828,300
434,363
164,160
815,305
316,160
483,320
5,41
35,165
35,367
404,142
424,124
424,99
542,172
542,401
385,376
160,316
357,16
93,280
152,283
305,243
266,466
579,46
198,820
266,720
208,195
81,363
53,231
401,542
82,154
82,166
82,145
194,3
490,377
231,53
377,490
29,5
96,58
121,10
160,326
30,434
62,164
297,73
190,69
359,9
9,359
288,19
482,593
221,222
155,189
420,256
434,61
310,82
195,826
714,425
255,106
434,30
434,647
533,97
533,323
533,265
424,357
351,352
59,305
442,545
612,340
333,460
607,420
695,183
305,59
751,128
343,180
434,820
82,310
393,424
97,533
647,21
67,74
357,424
385,378
385,103
82,290
256,283
167,95
83,368
593,320
28,183
593,482
412,404
370,339
370,151
694,129
146,81
61,434
21,647
339,370
333,434
518,87
249,121
105,106
424,222
249,5
498,160
103,385
455,338
455,96
533,280
671,80
666,19
497,424
74,67
170,494
494,68
494,170
424,93
489,87
333,87
87,333
504,406
5,249
142,233
5,29
424,497
54,738
229,170
134,5
278,486
280,363
822,350
447,676
98,64
389,377
389,104
301,276
137,815
69,282
160,448
211,365
128,183
253,459
253,80
253,21
253,20
253,222
253,405
253,434
253,106
253,259
253,315
253,189
253,227
253,671
253,316
253,258
253,607
253,228
54,412
661,700
366,115
81,82
164,45
273,140
273,447
273,448
273,45
0,248
223,152
160,281
350,681
440,368
209,631
103,61
103,0
211,3
21,260
21,259
21,253
533,441
333,282
270,28
249,211
216,107
165,329
282,333
338,107
424,132
260,728
666,441
82,353
82,404
374,441
177,515
113,116
699,441
417,333
0,103
257,183
61,103
303,170
515,177
281,160
661,441
593,822
616,533
105,431
540,549
285,254
66,469
424,290
282,87
469,66
87,282
137,129
137,46
282,572
786,206
786,407
241,440
426,526
168,523
170,303
368,440
440,241
813,434
546,87
160,158
104,389
169,229
222,467
467,222
128,199
182,376
826,2
306,141
306,20
314,256
51,820
323,768
180,62
525,332
155,19
768,124
543,16
453,615
40,47
483,351
455,333
265,533
63,138
63,412
366,188
602,441
412,586
269,420
412,54
674,19
140,819
665,2
279,160
62,180
58,431
47,40
47,47
31,261
393,142
420,269
85,51
51,85
115,171
115,38
332,525
332,707
115,443
562,438
142,393
434,132
142,508
115,417
25,30
282,280
63,239
4,57
4,137
2,832
438,562
132,434
481,586
296,62
500,44
377,464
368,232
368,397
198,258
664,93
664,515
464,377
13,478
0,560
178,178
431,71
152,107
99,424
810,420
223,87
74,331
560,0
444,333
194,826
557,445
221,1
199,399
533,616
397,368
373,83
820,160
87,506
5,63
368,379
448,334
160,285
13,199
13,78
13,94
314,161
381,160
546,615
756,597
264,247
264,570
264,700
667,81
160,381
437,361
437,116
79,557
200,199
199,434
434,199
161,314
121,81
220,47
6,290
160,820
334,448
564,208
564,126
592,592
437,531
236,241
58,424
833,44
68,16
560,74
560,215
560,316
520,815
251,417
69,259
57,4
460,679
460,663
333,115
259,69
209,365
115,333
143,469
424,69
536,83
424,68
13,327
259,728
810,511
404,768
663,460
93,413
329,28
286,408
68,357
92,728
209,71
209,84
665,6
231,249
351,575
280,655
6,665
68,424
417,251
487,332
80,184
68,418
448,461
184,434
389,393
434,200
434,167
434,99
685,281
418,68
281,685
273,4
536,229
525,44
526,440
245,361
245,417
245,444
245,442
245,547
245,423
245,47
245,485
229,536
191,166
388,60
116,816
440,149
149,440
368,366
778,569
494,601
569,778
50,431
160,170
146,189
199,820
430,280
531,437
399,199
87,547
547,87
170,160
166,282
427,460
366,368
64,523
318,107
478,183
107,834
290,563
339,170
61,421
3,239
272,63
250,741
63,272
23,23
132,552
816,119
816,470
333,128
333,133
333,23
333,393
333,609
333,427
333,474
333,180
333,41
333,340
333,77
333,17
333,173
333,531
137,552
282,174
493,835
493,483
95,820
776,342
523,836
59,96
405,282
183,16
282,405
314,295
295,314
8,525
350,157
837,107
273,2
210,208
192,807
2,273
375,160
269,145
494,210
179,181
286,329
286,815
357,21
285,302
13,679
180,393
427,105
297,17
107,518
4,826
4,832
665,212
145,771
405,145
329,210
598,134
331,74
160,214
498,441
86,283
756,311
342,776
21,357
531,256
105,243
486,94
17,249
17,105
54,665
94,486
499,213
7,573
249,17
573,7
107,837
826,195
826,194
826,192
4,239
381,181
133,11
389,376
389,397
126,586
126,552
126,208
158,239
17,297
322,461
45,838
679,13
679,81
62,366
181,381
318,494
394,376
381,150
300,124
547,527
86,326
58,87
28,329
166,64
87,23
362,434
23,87
362,256
251,170
376,389
376,394
334,274
318,424
826,4
826,586
434,421
93,515
215,296
489,300
420,30
357,183
375,183
832,193
832,826
832,4
832,194
832,195
832,2
832,192
424,183
86,256
16,68
194,832
555,44
107,216
546,490
195,832
367,44
367,81
81,114
367,21
114,81
815,520
815,286
839,191
826,832
128,35
287,81
291,280
291,203
123,180
720,765
485,455
455,485
261,170
685,4
83,579
83,273
183,292
148,377
59,412
437,38
679,482
333,176
820,215
5,134
27,437
756,756
195,5
451,487
370,414
730,160
414,370
295,182
473,30
133,10
822,484
68,494
283,114
233,174
121,219
80,815
69,477
58,803
2,803
187,215
165,434
565,9
167,165
14,79
165,167
776,200
141,365
258,454
284,278
20,80
9,565
20,715
80,20
84,75
84,442
84,252
84,115
84,654
94,593
593,820
824,191
320,182
115,84
114,767
441,161
278,284
776,820
820,434
323,162
62,726
215,511
4,685
482,679
305,281
504,358
86,44
44,86
47,333
593,205
290,121
58,826
162,323
510,9
14,339
342,294
322,434
103,320
518,105
453,189
121,290
255,434
434,459
11,133
440,440
685,193
685,826
87,509
459,434
13,33
13,497
13,197
13,318
281,13
7,570
222,106
832,586
440,526
748,222
182,320
694,493
5,458
339,14
423,121
160,828
427,434
121,423
58,586
58,832
170,753
828,160
235,236
129,840
129,457
577,282
570,7
13,771
288,758
249,221
690,447
832,58
115,533
601,523
593,200
314,340
169,437
225,459
340,314
215,159
215,53
107,428
103,392
159,215
478,514
107,8
24,24
346,51
346,128
425,90
443,443
90,425
526,568
